Unix,Date,Symbol,Open,High,Low,Close,Volume BNT,Volume BTC,tradecount
1711843200000,2024-03-31,BNTBTC,1.263e-05,1.303e-05,1.257e-05,1.287e-05,104965.7,1.35336825,929
1711756800000,2024-03-30,BNTBTC,1.267e-05,1.291e-05,1.253e-05,1.26e-05,90448.8,1.14795112,2043
1711670400000,2024-03-29,BNTBTC,1.254e-05,1.278e-05,1.238e-05,1.268e-05,103796.9,1.31040054,1368
1711584000000,2024-03-28,BNTBTC,1.272e-05,1.286e-05,1.23e-05,1.26e-05,151052.7,1.89764103,2398
1711497600000,2024-03-27,BNTBTC,1.277e-05,1.289e-05,1.243e-05,1.265e-05,73914.7,0.93557413,1528
1711411200000,2024-03-26,BNTBTC,1.24e-05,1.285e-05,1.237e-05,1.278e-05,79598.1,1.00792306,785
1711324800000,2024-03-25,BNTBTC,1.233e-05,1.249e-05,1.212e-05,1.237e-05,111652.7,1.37268563,1917
1711238400000,2024-03-24,BNTBTC,1.257e-05,1.261e-05,1.226e-05,1.231e-05,75800.7,0.94078712,702
1711152000000,2024-03-23,BNTBTC,1.244e-05,1.262e-05,1.237e-05,1.257e-05,172903.5,2.15816753,1820
1711065600000,2024-03-22,BNTBTC,1.248e-05,1.262e-05,1.219e-05,1.247e-05,223439.5,2.77409927,1673
1710979200000,2024-03-21,BNTBTC,1.215e-05,1.256e-05,1.203e-05,1.248e-05,149162.2,1.83900197,1172
1710892800000,2024-03-20,BNTBTC,1.212e-05,1.234e-05,1.18e-05,1.217e-05,263428.5,3.20264491,1821
1710806400000,2024-03-19,BNTBTC,1.239e-05,1.239e-05,1.162e-05,1.212e-05,232071.6,2.78750226,1945
1710720000000,2024-03-18,BNTBTC,1.267e-05,1.282e-05,1.209e-05,1.239e-05,122003.4,1.51718099,1082
1710633600000,2024-03-17,BNTBTC,1.298e-05,1.302e-05,1.238e-05,1.27e-05,339285.7,4.32958935,4620
1710547200000,2024-03-16,BNTBTC,1.318e-05,1.338e-05,1.256e-05,1.298e-05,127204.5,1.65034273,2919
1710460800000,2024-03-15,BNTBTC,1.386e-05,1.39e-05,1.278e-05,1.316e-05,157432.9,2.08717725,2988
